station_name,station_identifier,type,latitude,longitude,elevation
Kortes Power Plant,3281,Power Plant,42.17430142,-106.88054306,5966.240000
Keswick Power Plant,3280,Power Plant,40.611858,-122.44644127,489.510000
Judge Francis Carr Power Plant,3279,Power Plant,40.64693398,-122.62697266,1213.570000
Hungry Horse Power Plant,3278,Power Plant,48.34152069,-114.01443014,3117.520000
Heart Mountain Power Plant,3276,Power Plant,44.51376683,-109.12958796,4986.100000
Guernsey Power Plant,3275,Power Plant,42.28986789,-104.76063398,4497.110000
Green Springs Power Plant,3274,Power Plant,42.12116814,-122.54789573,2458.600000
Green Mountain Power Plant,3273,Power Plant,39.87880535,-106.33272523,7737.710000
Grand Coulee Power Plant,3272,Power Plant,47.95751079,-118.9773228,1052.040000
Grand Coulee Pump Generating Plant,3271,Pump Generating Plant,47.95751079,-118.9773228,1052.040000
Glendo Power Plant,3270,Power Plant,42.46725436,-104.95552621,4506.690000
Glen Canyon Power Plant,3269,Power Plant,36.93661409,-111.48387184,3299.520000
Fremont Canyon Power Plant,3268,Power Plant,42.47660012,-106.79590143,5558.500000
Fontenelle Power Plant,3267,Power Plant,42.02701297,-110.06397312,6406.730000
Folsom Power Plant,3266,Power Plant,38.70675032,-121.15844321,197.470000
Flatiron (Unit 3) Pump Generating Plant,3265,Pump Generating Plant,40.36499622,-105.23603218,5487.490000
"Flatiron (Unit 1, 2) Power Plant",3264,Power Plant,40.36499622,-105.23603218,5487.490000
Flaming Gorge Power Plant,3263,Power Plant,40.91464594,-109.42166209,5711.950000
Estes Power Plant,3262,Power Plant,40.37677066,-105.50966502,7481.110000
Elephant Butte Power Plant,3261,Power Plant,33.15335835,-107.19197294,4290.930000
Davis Power Plant,3259,Power Plant,35.19704427,-114.57066921,527.410000
Crystal Power Plant,3258,Power Plant,38.5105725,-107.6253351,6758.910000
Chandler Power Plant,3257,Power Plant,46.26678025,-119.58982128,518.280000
Canyon Ferry Power Plant,3256,Power Plant,46.64902592,-111.727874,3658.660000
Buffalo Bill Power Plant,3255,Power Plant,44.50816852,-109.17066126,5100.410000
Boysen Power Plant,3254,Power Plant,43.41787167,-108.1775449,4639.010000
Boise River Diversion Power Plant,3253,Power Plant,43.53768524,-116.09375567,2826.940000
Blue Mesa Power Plant,3252,Power Plant,38.45319055,-107.33748257,7185.380000
Black Canyon Power Plant,3251,Power Plant,43.93046205,-116.43717204,2434.030000
Big Thompson Power Plant,3250,Power Plant,40.42103105,-105.22380391,5290.900000
Anderson Ranch Power Plant,3249,Power Plant,43.35706587,-115.4515169,3896.960000
Alcova Power Plant,3248,Power Plant,42.5484117,-106.71753635,5364.830000
Silver Jack Reservoir and Dam,477,Lake/Reservoir,38.2328,-107.5411,8925.600000
Ridgway Reservoir and Dam,448,Lake/Reservoir,38.22281,-107.74781,6861.000000
Paonia Reservoir and Dam,431,Lake/Reservoir,38.9442,-107.3517,6447.500000
Fruitgrowers Reservoir and Dam,338,Lake/Reservoir,38.82675,-107.9542778,5650.000000
Lost Lake,3209,Lake/Reservoir,40.6741,-110.9413,9905.120000
Trial Lake,3208,Lake/Reservoir,40.6799,-110.956839,9818.910000
Washington Lake,3207,Lake/Reservoir,40.6765,-110.964,9985.170000
New Melones Lake Dam and Powerplant,3204,Lake/Reservoir,37.9481,-120.525,1135.000000
Trinity Lake Dam and Powerplant,3203,Lake/Reservoir,40.801,-122.762,2370.000000
Fontenelle Reservoir Dam and Powerplant,1536,Lake/Reservoir,42.05781,-110.09665,6509.000000
Flaming Gorge Reservoir Dam and Powerplant,1535,Lake/Reservoir,40.97789,-109.57304,6040.000000
Crystal Reservoir Dam and Powerplant,1534,Lake/Reservoir,38.50322,-107.61758,6757.000000
Blue Mesa Reservoir Dam and Powerplant,1533,Lake/Reservoir,38.46421,-107.22457,7519.000000
Willard Bay Reservoir and Arthur V Watkins Dam,512,Lake/Reservoir,41.37738,-112.08339,4203.000000
Vallecito Reservoir and Dam,501,Lake/Reservoir,37.38956,-107.55602,7654.000000
Upper Stillwater Reservoir and Dam,500,Lake/Reservoir,40.56565,-110.70044,8169.000000
Taylor Park Reservoir and Dam,491,Lake/Reservoir,38.83269,-106.58564,9336.000000
Strawberry Reservoir and Soldier Creek Dam,488,Lake/Reservoir,40.16882,-111.1311,7595.000000
Steinaker Reservoir and Dam,486,Lake/Reservoir,40.51456,-109.53275,5513.000000
Stateline Reservoir and Dam,485,Lake/Reservoir,40.98291,-110.39038,9196.000000
Starvation Reservoir and Dam,484,Lake/Reservoir,40.19324,-110.44722,5723.000000
Shasta Lake Dam and Powerplant,471,Lake/Reservoir,40.718,-122.42,1067.000000
Scofield Reservoir and Dam,466,Lake/Reservoir,39.77656,-111.05074,7708.000000
Rockport Reservoir and Wanship Dam,453,Lake/Reservoir,40.77498,-111.39859,6044.000000
Red Fleet Reservoir and Dam,447,Lake/Reservoir,40.57832,-109.42853,5604.000000
Pineview Reservoir Dam and Powerplant,437,Lake/Reservoir,41.26543,-111.80998,4898.000000
Newton Reservoir and Dam,425,Lake/Reservoir,41.8998,-111.97562,4760.000000
Navajo Reservoir and Dam,423,Lake/Reservoir,36.85932,-107.53047,6073.000000
Morrow Point Reservoir Dam and Powerplant,417,Lake/Reservoir,38.44437,-107.50955,7156.000000
Moon Lake Reservoir and Dam,416,Lake/Reservoir,40.57445,-110.50665,8081.000000
Meeks Cabin Reservoir and Dam,411,Lake/Reservoir,41.01664,-110.58344,8694.000000
Mcphee Reservoir and Dam,410,Lake/Reservoir,37.53968,-108.54219,6955.000000
Lost Creek Reservoir and Dam,400,Lake/Reservoir,41.18887,-111.39628,6012.000000
Lemon Reservoir and Dam,395,Lake/Reservoir,37.39538,-107.66269,8150.000000
Lake Powell Glen Canyon Dam and Powerplant,393,Lake/Reservoir,37.05778,-111.30332,3596.000000
Lake Nighthorse and Ridges Basin Dam,392,Lake/Reservoir,37.22392,-107.91694,6891.000000
Keswick Reservoir Dam and Powerplant,387,Lake/Reservoir,40.601,-122.443,596.000000
Jordanelle Reservoir Dam and Powerplant,384,Lake/Reservoir,40.60689,-111.41655,6181.000000
Joes Valley Reservoir and Dam,383,Lake/Reservoir,39.2901,-111.27888,6978.000000
Jackson Gulch Reservoir and Dam,378,Lake/Reservoir,37.40186,-108.27342,7844.000000
Huntington North Reservoir and Dam,370,Lake/Reservoir,39.38458,-111.09082,6481.000000
Heron Reservoir and Dam,365,Lake/Reservoir,36.6973,-106.6992,7157.000000
El Vado Lake and Dam,324,Lake/Reservoir,36.5948,-106.7366,6900.000000
Elephant Butte Reservoir Dam and Powerplant,323,Lake/Reservoir,33.22488,-107.17589,4383.000000
Eden Reservoir and Dam,321,Lake/Reservoir,42.225,-109.3706,6703.000000
Echo Reservoir and Dam,320,Lake/Reservoir,40.9574,-111.4179,5562.000000
East Canyon Reservoir and Dam,319,Lake/Reservoir,40.91017,-111.59293,5718.000000
Deer Creek Reservoir Dam and Powerplant,314,Lake/Reservoir,40.43511,-111.50035,5420.000000
Currant Creek Reservoir and Dam,310,Lake/Reservoir,40.33841,-111.05821,7696.000000
Causey Reservoir and Dam,289,Lake/Reservoir,41.29828,-111.58591,5718.000000
Caballo Reservoir and Dam,286,Lake/Reservoir,32.92443,-107.29932,4184.000000
Big Sandy Reservoir and Dam,277,Lake/Reservoir,42.26841,-109.43201,6749.000000
Lake Natoma Nimbus Dam and Powerplant,422,Lake/Reservoir,38.65,-121.183,132.000000
Millerton Lake and Friant Dam,413,Lake/Reservoir,37.001,-119.705,581.000000
Lewiston Lake Dam and Powerplant ,397,Lake/Reservoir,40.727,-122.793,1870.000000
Cachuma Lake and Bradbury Dam,292,Lake/Reservoir,34.583,-119.98,781.000000
Lake Berryessa and Monticello Dam,272,Lake/Reservoir,38.513,-122.104,456.000000
Spring Creek Reservoir and Debris Dam,6,Lake/Reservoir,40.629,-122.474,816.000000
